Country name,Year,Region,Protest,Start Day,Start Month,Start Year,End Day,End Month,End Year,Protester Violence,Number of Participants in Protest,Reported participation in protest,Protester Group Identity,Primary Protester Demands [Demand 1],Primary State Response to protests [Response 1],Time Spending
Afghanistan,2016,Asia,1,16,5,2016,16,5,2016,1,>10000,tens of thousands,ethnic Hazaras,land farm issue,crowd dispersal,1
Afghanistan,2016,Asia,1,23,7,2016,23,7,2016,0,5000-10000,thousands,ethnic Hazaras,land farm issue,ignore,1
Afghanistan,2011,Asia,1,19,5,2011,19,5,2011,1,,100s,protesters,police brutality,crowd dispersal,1
Afghanistan,1997,Asia,1,23,12,1997,23,12,1997,0,,2000,taliban supporters,police brutality,ignore,1
Afghanistan,2014,Asia,1,20,6,2014,20,6,2014,0,100-999,100s,protesters,"political behavior, process",ignore,1
Afghanistan,2015,Asia,1,23,3,2015,23,3,2015,0,100-999,100s,protesters,"political behavior, process",accomodation,1
Afghanistan,2015,Asia,1,2,4,2015,2,4,2015,0,50-99,>55,protesters,"political behavior, process",ignore,1
Afghanistan,2015,Asia,1,10,11,2015,10,11,2015,0,2000-4999,1000s,protesters,"political behavior, process",ignore,1
Afghanistan,2016,Asia,1,22,3,2016,22,3,2016,0,100-999,hundreds,protesters,"political behavior, process",ignore,1
Afghanistan,2014,Asia,1,21,6,2014,21,6,2014,0,2000-4999,1000s,"protesters, supporters of Abdullah Abdullah","political behavior, process",ignore,1
Afghanistan,2015,Asia,1,24,3,2015,24,3,2015,0,2000-4999,1000s,"protesters, women","political behavior, process",accomodation,1
Afghanistan,2015,Asia,1,11,11,2015,11,11,2015,1,>10000,>10000,"protesters, youth, laborers, university students, pensioners, Hazaras","political behavior, process",shootings,1
Afghanistan,2016,Asia,1,22,9,2016,22,9,2016,0,50-99,50,residents,"political behavior, process",ignore,1
Afghanistan,2002,Asia,1,11,11,2002,12,11,2002,1,,200,students,"political behavior, process",crowd dispersal,2
Afghanistan,2014,Asia,1,7,7,2014,7,7,2014,0,50-99,>50,supporters of the presidential candidate Abdullah Abdullah,"political behavior, process",ignore,1
Afghanistan,2014,Asia,1,9,7,2014,9,7,2014,0,100-999,100s,supporters of the presidential candidate Abdullah Abdullah,"political behavior, process",ignore,1
