"ID incidence with coutry, demand, grp, same year"				frequency	Free status at the year	Govt. response	Violent govt res?	# of part.	Protestor Violence
Afghanistan	land farm issue	ethnic Hazaras	2016	2	0		 		
Afghanistan	police brutality	protesters	2011	1					
Afghanistan	police brutality	taliban supporters	1997	1					
Afghanistan	"political behavior, process"	protesters	2014	1					
Afghanistan	"political behavior, process"	protesters	2015	3					
Afghanistan	"political behavior, process"	protesters	2016	1					
Afghanistan	"political behavior, process"	"protesters, supporters of Abdullah Abdullah"	2014	1					
Afghanistan	"political behavior, process"	"protesters, women"	2015	1					
Afghanistan	"political behavior, process"	"protesters, youth, laborers, university students, pensioners, Hazaras"	2015	1					
Afghanistan	"political behavior, process"	residents	2016	1					
Afghanistan	"political behavior, process"	students	2002	2					
Afghanistan	"political behavior, process"	supporters of the presidential candidate Abdullah Abdullah	2014	2					
Afghanistan	"political behavior, process"	"supporters of the presidential candidate Abdullah Abdullah, Tajiks and Hazaras"	2014	1					
Afghanistan	"political behavior, process"	university students	2014	1					
Afghanistan	social restrictions	National Islamic Front of Afghanistan candidates and supporters	2005	1					
Afghanistan	social restrictions	womens' groups	2005	1					
Albania	labor wage dispute	Albanians	1991	1					
Albania	labor wage dispute	Workers	1992	5					
Albania	police brutality	Albanians	1997	1					
Albania	"political behavior, process"	 followers of the former Albanian President Sali Berisha	1998	1					
Albania	"political behavior, process"	 former political prisoners 	1994	8	1				
Albania	"political behavior, process"	Albanians	1991	3					
Albania	"political behavior, process"	Albanians	1997	9					
Albania	"political behavior, process"	ethnic Greeks	1993	1					
Albania	"political behavior, process"	leaders and supporters of opposition parties 	1996	1	1				
Albania	"political behavior, process"	opposition 	2011	1	1990	1			
Albania	"political behavior, process"	opposition leaders	2010	14					
Albania	"political behavior, process"	people	1991	1					
Albania	"political behavior, process"	"People, students, workers"	1990	2					
Albania	"political behavior, process"	protesters	2000	1					
Albania	"political behavior, process"	protesters	2010	36					
Albania	"political behavior, process"	protesters	2011	2	1				
Albania	"political behavior, process"	protesters	2013	3					
Albania	"political behavior, process"	Protestors	1990	1					
Albania	"political behavior, process"	Protestors	1991	1					
Albania	"political behavior, process"	"Rioters, Students, Workers"	1990	1					
Albania	"political behavior, process"	Students	1990	1					
Albania	"political behavior, process"	Students	1991	1					
Albania	"political behavior, process"	Students and other people	1990	1					
Albania	"political behavior, process"	supporters of opposition Socialist party	2013	1					
Albania	"political behavior, process"	Supporters of the opposition	1998	1					
Albania	"political behavior, process"	supporters of the Socialist Party	1993	1					
Albania	"political behavior, process"	Youths	1991	1					
Albania	"price increases, tax policy"	People	1992	1					
Albania	removal of politician	Albanians	1997	1					
Albania	removal of politician	Supporters of Albania's former President Sali Berisha	1998	1					
Algeria	labor wage dispute	policemen	2014	5					
Algeria	land farm issue	residents	2014	1					
Algeria	police brutality	Berber youths	2001	3					
Algeria	police brutality	Berbers	2001	1					
Algeria	police brutality	pro-Berber rights	2001	1					
Algeria	"political behavior, process"	"Barakat (Arabic for ""That's enough"") movement, anti-Bouteflika protesters"	2014	3					
Algeria	"political behavior, process"	Berber youths	2001	2					
Algeria	"political behavior, process"	Berbers	2001	1					
Algeria	"political behavior, process"	"Berbers, youths"	1998	2					
Algeria	"political behavior, process"	"Kabyle ethnic group, youth"	2014	2					
Algeria	"political behavior, process"	leftists/liberals	1990	1					
Algeria	"political behavior, process"	leftists/secularists	1992	1					
Algeria	"political behavior, process"	muslim fundamentalist students	1992	1					
Algeria	"political behavior, process"	muslim fundamentalists	1990	1					
Algeria	"political behavior, process"	muslim fundamentalists	1991	18					
Algeria	"political behavior, process"	muslim fundamentalists	1992	7					
Algeria	"political behavior, process"	Opposition leaders from secularist party Rally for Culture and Democracy (RCD) and the Islamist Movement for Peace and Society (MSP)	2014	1					
Algeria	"political behavior, process"	opposition parties	1997	1	1				
Algeria	"political behavior, process"	opposition parties	1999	1	1				
Algeria	"political behavior, process"	protesters	2013	1					
Algeria	"political behavior, process"	protesters	2015	3					
Algeria	"political behavior, process"	residents	2014	1					
Algeria	"price increases, tax policy"	"Berbers, youths"	2001	1					
Algeria	"price increases, tax policy"	shantytown residents	2009	2					
Algeria	removal of politician	anti-Bouteflika protesters	2014	1					
Algeria	removal of politician	protesters	2011	1					
Algeria	social restrictions	Kabylie Autonomy Movement	2013	1					
Angola	labor wage dispute	Oil Unions	2006	1	1				
Angola	labor wage dispute	servicemen and workers of the angolan air force and air defense force	1991	1					
Angola	labor wage dispute	War Veterans	2012	1	1				
Angola	land farm issue	community members	2016	1					
Angola	land farm issue	Protesters	2001	1	1				
Angola	land farm issue	Protesters	2009	1					
Angola	police brutality	Protesters	2013	1					
Angola	police brutality	Students	2013	1	1				
Angola	"political behavior, process"	Campaign for Democratic Angola	2005	1					
Angola	"political behavior, process"	children	1994	1					
Angola	"political behavior, process"	Mpalabanda human rights organisation	2005	1					
Angola	"political behavior, process"	protesters	2015	3					
Angola	"political behavior, process"	Students	2002	1					
Angola	"political behavior, process"	Students	2003	1					
Angola	"price increases, tax policy"	Party for Development and Progress	1999	1					
Angola	"price increases, tax policy"	Party for Development and Progress	2000	1					
Angola	"price increases, tax policy"	seven Angolan opposition parties 	2000	1					
Angola	"price increases, tax policy"	Students	2003	1					
Angola	removal of politician	Party for Democratic Support and Progress	2004	1					
Angola	removal of politician	Party for Democratic Support and Progress in Angola (PADPA)	2003	1					
Argentina	labor wage dispute	Laid-off workers of a bankrupt Florida sugar mill	1994	1					
Argentina	labor wage dispute	organized by groups closely allied with and in some cases financed by Mr. Duhalde's own Peronist Party	2002	1					
Argentina	labor wage dispute	piqueteros (unemployed demonstrators)	2003	1					
Argentina	labor wage dispute	Police	2013	1					
Argentina	labor wage dispute	public servants	1999	1					
Argentina	labor wage dispute	public workers	1994	1					
Argentina	labor wage dispute	state employees 	1993	3					
Argentina	labor wage dispute	unemployed	1997	1					
Argentina	labor wage dispute	unemployed	2003	1					
Argentina	labor wage dispute	unemployed workers	2002	5					
Argentina	labor wage dispute	union members and government employees	1997	2					
Argentina	police brutality	Jews	1997	1					
Argentina	police brutality	prisoners/inmates	1996	9	1				
Argentina	"political behavior, process"	"angry bank depositors, unemployed"	2002	4					
Argentina	"political behavior, process"	anti-gay marriage people	2010	1					
Argentina	"political behavior, process"	"Argentine Jewish Youth, Delegation of Argentine-Israeli Associations"	1994	1					
Argentina	"political behavior, process"	Chinese shopkeepers & consumer groups	2007	65					
Argentina	"political behavior, process"	commuters	2007	1					
Argentina	"political behavior, process"	employees of state owned companies	1991	1					
Argentina	"political behavior, process"	farmer groups	2009	1					
Argentina	"political behavior, process"	farmers	2008	1					
Argentina	"political behavior, process"	Front of Trade Unions of State Workers	1995	1					
